date,series_code,indicator,value
2019-08-31,Q.5B0.5B0.C.5A.BKL.LDPT.1.ALL.NV.TO1.ALL,01_Cross-border loans from BIS reporting banks,4997850000.0
2019-08-31,Q.5B0.5B0.D.5A.ALL.DFXB.1.ALL.NV.TO1.BMA,27_Cross-border deposits with BIS rep. banks,11100139000.0
2019-08-31,,,
2019-08-31,,,
2019-08-31,,,
2019-08-31,,,
2019-09-30,Q.1C0.1C0.C.9A.MOA.RXGT.1.ALL.MV.TO1.ALL,24_International reserves (excluding gold),20258621642.4294
2019-09-30,Q.5B0.5B0.C.5A.BKC.ASTT.1.STR.MX.TO1.ALL,"12_Liabilities to BIS banks (cons.), short term",3659383000.0
2019-09-30,Q.5B0.5B0.C.5A.BKL.ASTT.1.ALL.MX.TO1.ALL,"22_Liabilities to BIS banks, locational, total",9319903000.0
2019-09-30,Q.5B0.5B0.C.5A.BKL.LDPT.1.ALL.NV.TO1.ALL,01_Cross-border loans from BIS reporting banks,4997850000.0
2019-09-30,Q.5B0.5B0.D.5A.ALL.DFXB.1.ALL.NV.TO1.BMA,27_Cross-border deposits with BIS rep. banks,11100139000.0
2019-09-30,,,
2019-09-30,,,
2019-09-30,,,
2019-09-30,,,
2019-10-31,Q.1C0.1C0.C.9A.MOA.RXGT.1.ALL.MV.TO1.ALL,24_International reserves (excluding gold),24083372926.8886
2019-10-31,Q.5B0.5B0.C.5A.BKC.ASTT.1.STR.MX.TO1.ALL,"12_Liabilities to BIS banks (cons.), short term",3563906000.0
2019-10-31,Q.5B0.5B0.C.5A.BKL.ASTT.1.ALL.MX.TO1.ALL,"22_Liabilities to BIS banks, locational, total",9792511000.0
2019-10-31,Q.5B0.5B0.C.5A.BKL.LDPT.1.ALL.NV.TO1.ALL,01_Cross-border loans from BIS reporting banks,5383297000.0
2019-10-31,Q.5B0.5B0.D.5A.ALL.DFXB.1.ALL.NV.TO1.BMA,27_Cross-border deposits with BIS rep. banks,11858522000.0
2019-10-31,,,
2019-10-31,,,
2019-10-31,,,
2019-10-31,,,
2019-11-30,Q.1C0.1C0.C.9A.MOA.RXGT.1.ALL.MV.TO1.ALL,24_International reserves (excluding gold),24083372926.8886
2019-11-30,Q.5B0.5B0.C.5A.BKC.ASTT.1.STR.MX.TO1.ALL,"12_Liabilities to BIS banks (cons.), short term",3563906000.0
2019-11-30,Q.5B0.5B0.C.5A.BKL.ASTT.1.ALL.MX.TO1.ALL,"22_Liabilities to BIS banks, locational, total",9792511000.0
2019-11-30,Q.5B0.5B0.C.5A.BKL.LDPT.1.ALL.NV.TO1.ALL,01_Cross-border loans from BIS reporting banks,5383297000.0
2019-11-30,Q.5B0.5B0.D.5A.ALL.DFXB.1.ALL.NV.TO1.BMA,27_Cross-border deposits with BIS rep. banks,11858522000.0
2019-11-30,,,
2019-11-30,,,
2019-11-30,,,
2019-11-30,,,
2019-12-31,Q.1C0.1C0.C.9A.MOA.RXGT.1.ALL.MV.TO1.ALL,24_International reserves (excluding gold),24083372926.8886
2019-12-31,Q.5B0.5B0.C.5A.BKC.ASTT.1.STR.MX.TO1.ALL,"12_Liabilities to BIS banks (cons.), short term",3563906000.0
2019-12-31,Q.5B0.5B0.C.5A.BKL.ASTT.1.ALL.MX.TO1.ALL,"22_Liabilities to BIS banks, locational, total",9792511000.0
2019-12-31,Q.5B0.5B0.C.5A.BKL.LDPT.1.ALL.NV.TO1.ALL,01_Cross-border loans from BIS reporting banks,5383297000.0
2019-12-31,Q.5B0.5B0.D.5A.ALL.DFXB.1.ALL.NV.TO1.BMA,27_Cross-border deposits with BIS rep. banks,11858522000.0
2019-12-31,,,
2019-12-31,,,
2019-12-31,,,
2019-12-31,,,
2020-01-31,Q.1C0.1C0.C.9A.MOA.RXGT.1.ALL.MV.TO1.ALL,24_International reserves (excluding gold),23610307559.222
2020-01-31,Q.5B0.5B0.C.5A.BKC.ASTT.1.STR.MX.TO1.ALL,"12_Liabilities to BIS banks (cons.), short term",3348745000.0
2020-01-31,Q.5B0.5B0.C.5A.BKL.ASTT.1.ALL.MX.TO1.ALL,"22_Liabilities to BIS banks, locational, total",8642496000.0
2020-01-31,Q.5B0.5B0.C.5A.BKL.LDPT.1.ALL.NV.TO1.ALL,01_Cross-border loans from BIS reporting banks,4825692000.0
2020-01-31,Q.5B0.5B0.D.5A.ALL.DFXB.1.ALL.NV.TO1.BMA,27_Cross-border deposits with BIS rep. banks,12376958000.0
2020-01-31,,,
2020-01-31,,,
2020-01-31,,,
2020-01-31,,,
2020-02-29,Q.1C0.1C0.C.9A.MOA.RXGT.1.ALL.MV.TO1.ALL,24_International reserves (excluding gold),23610307559.222
2020-02-29,Q.5B0.5B0.C.5A.BKC.ASTT.1.STR.MX.TO1.ALL,"12_Liabilities to BIS banks (cons.), short term",3348745000.0
2020-02-29,Q.5B0.5B0.C.5A.BKL.ASTT.1.ALL.MX.TO1.ALL,"22_Liabilities to BIS banks, locational, total",8642496000.0
2020-02-29,Q.5B0.5B0.C.5A.BKL.LDPT.1.ALL.NV.TO1.ALL,01_Cross-border loans from BIS reporting banks,4825692000.0
2020-02-29,Q.5B0.5B0.D.5A.ALL.DFXB.1.ALL.NV.TO1.BMA,27_Cross-border deposits with BIS rep. banks,12376958000.0
2020-02-29,,,
2020-02-29,,,
2020-02-29,,,
2020-02-29,,,
2020-03-31,Q.1C0.1C0.C.9A.MOA.RXGT.1.ALL.MV.TO1.ALL,24_International reserves (excluding gold),23610307559.222
2020-03-31,Q.5B0.5B0.C.5A.BKC.ASTT.1.STR.MX.TO1.ALL,"12_Liabilities to BIS banks (cons.), short term",3348745000.0
2020-03-31,Q.5B0.5B0.C.5A.BKL.ASTT.1.ALL.MX.TO1.ALL,"22_Liabilities to BIS banks, locational, total",8642496000.0
2020-03-31,Q.5B0.5B0.C.5A.BKL.LDPT.1.ALL.NV.TO1.ALL,01_Cross-border loans from BIS reporting banks,4825692000.0
2020-03-31,Q.5B0.5B0.D.5A.ALL.DFXB.1.ALL.NV.TO1.BMA,27_Cross-border deposits with BIS rep. banks,12376958000.0
2020-03-31,,,
2020-03-31,,,
2020-03-31,,,
2020-03-31,,,
2020-04-30,Q.1C0.1C0.C.9A.MOA.RXGT.1.ALL.MV.TO1.ALL,24_International reserves (excluding gold),27085228964.1012
2020-04-30,Q.5B0.5B0.C.5A.BKC.ASTT.1.STR.MX.TO1.ALL,"12_Liabilities to BIS banks (cons.), short term",2761844000.0
2020-04-30,Q.5B0.5B0.C.5A.BKL.ASTT.1.ALL.MX.TO1.ALL,"22_Liabilities to BIS banks, locational, total",8627921000.0
2020-04-30,Q.5B0.5B0.C.5A.BKL.LDPT.1.ALL.NV.TO1.ALL,01_Cross-border loans from BIS reporting banks,4681315000.0
2020-04-30,Q.5B0.5B0.D.5A.ALL.DFXB.1.ALL.NV.TO1.BMA,27_Cross-border deposits with BIS rep. banks,12827626000.0
2020-04-30,,,
2020-04-30,,,
2020-04-30,,,
2020-04-30,,,
2020-05-31,Q.1C0.1C0.C.9A.MOA.RXGT.1.ALL.MV.TO1.ALL,24_International reserves (excluding gold),27085228964.1012
2020-05-31,Q.5B0.5B0.C.5A.BKC.ASTT.1.STR.MX.TO1.ALL,"12_Liabilities to BIS banks (cons.), short term",2761844000.0
2020-05-31,Q.5B0.5B0.C.5A.BKL.ASTT.1.ALL.MX.TO1.ALL,"22_Liabilities to BIS banks, locational, total",8627921000.0
2020-05-31,Q.5B0.5B0.C.5A.BKL.LDPT.1.ALL.NV.TO1.ALL,01_Cross-border loans from BIS reporting banks,4681315000.0
2020-05-31,Q.5B0.5B0.D.5A.ALL.DFXB.1.ALL.NV.TO1.BMA,27_Cross-border deposits with BIS rep. banks,12827626000.0
2020-05-31,,,
2020-05-31,,,
2020-05-31,,,
2020-05-31,,,
2020-06-30,Q.1C0.1C0.C.9A.MOA.RXGT.1.ALL.MV.TO1.ALL,24_International reserves (excluding gold),27085228964.1012
2020-06-30,Q.5B0.5B0.C.5A.BKC.ASTT.1.STR.MX.TO1.ALL,"12_Liabilities to BIS banks (cons.), short term",2761844000.0
2020-06-30,Q.5B0.5B0.C.5A.BKL.ASTT.1.ALL.MX.TO1.ALL,"22_Liabilities to BIS banks, locational, total",8627921000.0
2020-06-30,Q.5B0.5B0.C.5A.BKL.LDPT.1.ALL.NV.TO1.ALL,01_Cross-border loans from BIS reporting banks,4681315000.0
2020-06-30,Q.5B0.5B0.D.5A.ALL.DFXB.1.ALL.NV.TO1.BMA,27_Cross-border deposits with BIS rep. banks,12827626000.0
2020-06-30,,,
2020-06-30,,,
2020-06-30,,,
2020-06-30,,,
2020-07-31,Q.1C0.1C0.C.9A.MOA.RXGT.1.ALL.MV.TO1.ALL,24_International reserves (excluding gold),24975954793.7481
2020-07-31,Q.5B0.5B0.C.5A.BKC.ASTT.1.STR.MX.TO1.ALL,"12_Liabilities to BIS banks (cons.), short term",2457948000.0
2020-07-31,Q.5B0.5B0.C.5A.BKL.ASTT.1.ALL.MX.TO1.ALL,"22_Liabilities to BIS banks, locational, total",8672449000.0
2020-07-31,Q.5B0.5B0.C.5A.BKL.LDPT.1.ALL.NV.TO1.ALL,01_Cross-border loans from BIS reporting banks,4954678000.0
2020-07-31,Q.5B0.5B0.D.5A.ALL.DFXB.1.ALL.NV.TO1.BMA,27_Cross-border deposits with BIS rep. banks,13636566000.0
2020-07-31,,,
2020-07-31,,,
2020-07-31,,,
2020-07-31,,,
2020-08-31,Q.1C0.1C0.C.9A.MOA.RXGT.1.ALL.MV.TO1.ALL,24_International reserves (excluding gold),24975954793.7481
2020-08-31,Q.5B0.5B0.C.5A.BKC.ASTT.1.STR.MX.TO1.ALL,"12_Liabilities to BIS banks (cons.), short term",2457948000.0
2020-08-31,Q.5B0.5B0.C.5A.BKL.ASTT.1.ALL.MX.TO1.ALL,"22_Liabilities to BIS banks, locational, total",8672449000.0
2020-08-31,Q.5B0.5B0.C.5A.BKL.LDPT.1.ALL.NV.TO1.ALL,01_Cross-border loans from BIS reporting banks,4954678000.0
2020-08-31,Q.5B0.5B0.D.5A.ALL.DFXB.1.ALL.NV.TO1.BMA,27_Cross-border deposits with BIS rep. banks,13636566000.0
2020-08-31,,,
2020-08-31,,,
2020-08-31,,,
2020-08-31,,,
2020-09-30,Q.1C0.1C0.C.9A.MOA.RXGT.1.ALL.MV.TO1.ALL,24_International reserves (excluding gold),24975954793.7481
2020-09-30,Q.5B0.5B0.C.5A.BKC.ASTT.1.STR.MX.TO1.ALL,"12_Liabilities to BIS banks (cons.), short term",2457948000.0
2020-09-30,Q.5B0.5B0.C.5A.BKL.ASTT.1.ALL.MX.TO1.ALL,"22_Liabilities to BIS banks, locational, total",8672449000.0
