date,Q.1C0.1C0.C.9A.MOA.RXGT.1.ALL.MV.TO1.ALL,Q.5B0.5B0.C.5A.BKC.ASTT.1.STR.MX.TO1.ALL,Q.5B0.5B0.C.5A.BKL.ASTT.1.ALL.MX.TO1.ALL,Q.5B0.5B0.C.5A.BKL.LDPT.1.ALL.NV.TO1.ALL,Q.5B0.5B0.D.5A.ALL.DFXB.1.ALL.NV.TO1.BMA,us_3y_yield,ukraine_3y_yield,ukraine_3y_change_pct,cpi_x,cpi_y,exchange_rate,interest_rate,gdp_yoy_pct,reserves_pct_gdp
2017-07-01,,,,,,,,,,27.76464407670081,78.3170221988473,1055.28,,
2017-07-31,17591857335.8528,2745604000.0,10009829000.0,6852475000.0,9696662000.0,,,,,,,,,
2017-08-01,,,,,,,,,,27.26324028176363,79.0060416123707,1429.45,,
2017-08-31,17591857335.8528,2745604000.0,10009829000.0,6852475000.0,9696662000.0,,,,,,,,,
2017-09-01,,,,,,,,,,23.22012578616352,77.5381202644849,813.82,,
2017-09-30,17591857335.8528,2745604000.0,10009829000.0,6852475000.0,9696662000.0,,,,,,,,,
2017-10-01,,,,,,,,,,15.18839223028317,77.2972207036343,898.1,,
2017-10-31,17747801196.5576,2137596000.0,9045139000.0,5691764000.0,8197958000.0,,,,,,,,,
2017-11-01,,,,,,,,,,10.26666666666667,77.9156289552915,1296.05,,
2017-11-30,17747801196.5576,2137596000.0,9045139000.0,5691764000.0,8197958000.0,,,,,,,,,
2017-12-01,,,,,,,,,,10.57777777777778,75.7956823835542,819.8,,
2017-12-31,17747801196.5576,2137596000.0,9045139000.0,5691764000.0,8197958000.0,,,,,,,,,
2018-01-01,,,,,,,,,,10.70241524484822,72.1581853776549,1109.08,17.461705349026534,-0.1049711016770039
2018-01-31,17154107800.2739,2425910000.0,8951042000.0,5498985000.0,8744205000.0,,,,,,,,,
2018-02-01,,,,,,,,,,10.92436974789916,75.456817818122,1398.88,,
2018-02-28,17154107800.2739,2425910000.0,8951042000.0,5498985000.0,8744205000.0,,,,,,,,,
2018-03-01,,,,,,,,,,5.938092229943146,78.3292531607972,1624.74,,
2018-03-31,17154107800.2739,2425910000.0,8951042000.0,5498985000.0,8744205000.0,,,,,,,,,
2018-04-01,,,,,,,,,,5.637049455155071,79.7736598844489,1593.33,,
2018-04-30,16993057103.9795,2558736000.0,8471379000.0,5039799000.0,10041571000.0,,,,,,,,,
2018-05-01,,,,,,,,,,4.906444906444906,81.857095107462,1945.02,,
2018-05-31,16993057103.9795,2558736000.0,8471379000.0,5039799000.0,10041571000.0,,,,,,,,,
2018-06-01,,,,,,,,,,4.69493278179938,82.9928356540802,1857.86,,
2018-06-30,16993057103.9795,2558736000.0,8471379000.0,5039799000.0,10041571000.0,,,,,,,,,
2018-07-01,,,,,,,,,,4.584703947368421,83.2052447212031,1826.58,,
2018-07-31,15700098285.0135,2335141000.0,8747859000.0,5501326000.0,9499545000.0,,17.12294117647059,0.0723529411764706,,,,,,
2018-08-01,,,,,,,,,,4.797047970479705,82.3422955857916,2347.07,,
2018-08-31,15700098285.0135,2335141000.0,8747859000.0,5501326000.0,9499545000.0,,17.433043478260867,0.2204347826086956,,,,,,
2018-09-01,,,,,,,,,,4.593711719069008,81.2494654255471,1927.87,,
2018-09-30,15700098285.0135,2335141000.0,8747859000.0,5501326000.0,9499545000.0,,18.484,0.203,,,,,,
2018-10-01,,,,,,,,,,4.693214140593255,82.2547561713474,1821.46,,
2018-10-31,19818210004.1028,2237396000.0,8689494000.0,5474527000.0,9910416000.0,,18.49695652173913,-0.1117391304347826,,,,,,
2018-11-01,,,,,,,,,,10.1975010076582,83.9148419096394,2515.94,,
2018-11-30,19818210004.1028,2237396000.0,8689494000.0,5474527000.0,9910416000.0,,18.22,0.1195454545454545,,,,,,
2018-12-01,,,,,,,,,,10.65112540192926,85.0702858779053,4180.79,,
2018-12-31,19818210004.1028,2237396000.0,8689494000.0,5474527000.0,9910416000.0,,19.05809523809524,0.1714285714285714,,,,,,
2019-01-01,,,,,,,,,0.9882174078297224,13.07045636509207,85.0023655980752,3679.96,18.27574782689292,-0.0741355574362112
2019-01-31,19605960748.7947,3220601000.0,8681047000.0,5041696000.0,9990184000.0,,18.96608695652174,-0.0782608695652174,,,,,,
2019-02-01,,,,,,,,,0.5269100489273617,13.17783094098884,87.3547326820583,2672.32,,
2019-02-28,19605960748.7947,3220601000.0,8681047000.0,5041696000.0,9990184000.0,,18.2585,-0.35,,,,,,
2019-03-01,,,,,,,,,0.8985398727068514,13.17829457364341,88.4411580385565,3251.63,,
2019-03-31,19605960748.7947,3220601000.0,8681047000.0,5041696000.0,9990184000.0,,16.866190476190475,-0.0228571428571428,,,,,,
2019-04-01,,,,,,,,,1.001855287569573,13.19182701844872,89.2472257757441,2729.47,,
2019-04-30,19532677313.6943,3958575000.0,9245535000.0,5208214000.0,10058673000.0,,18.354090909090907,0.349090909090909,,,,,,
2019-05-01,,,,,,,,,0.6980161645848642,12.28695996829172,91.7553148324224,1543.44,,
2019-05-31,19532677313.6943,3958575000.0,9245535000.0,5208214000.0,10058673000.0,,18.03391304347826,18.66782608695652,,,,,,
2019-06-01,,,,,,,,,-0.5107624954396206,10.35163966811537,90.4385395948308,3242.51,,
2019-06-30,19532677313.6943,3958575000.0,9245535000.0,5208214000.0,10058673000.0,,17.6155,14.379500000000002,,,,,,
2019-07-01,,,,,,,,,-0.5867253392005867,7.293100058973855,93.0125264430228,3766.37,,
2019-07-31,20258621642.4294,3659383000.0,9319903000.0,4997850000.0,11100139000.0,,17.731739130434782,19.57260869565217,,,,,,
2019-08-01,,,,,,,,,-0.2950940612320177,5.809859154929577,96.5699273138722,3737.99,,
2019-08-31,20258621642.4294,3659383000.0,9319903000.0,4997850000.0,11100139000.0,,17.43318181818182,18.904090909090908,,,,,,
2019-09-01,,,,,,,,,0.7029226785053644,5.36794846769471,98.9986833057513,2910.75,,
2019-09-30,20258621642.4294,3659383000.0,9319903000.0,4997850000.0,11100139000.0,,16.806666666666665,0.0771428571428571,,,,,,
2019-10-01,,,,,,,,,0.6980161645848642,4.327576169221813,98.3109149735192,2641.44,,
2019-10-31,24083372926.8886,3563906000.0,9792511000.0,5383297000.0,11858522000.0,,16.333913043478262,19.414782608695653,,,,,,
2019-11-01,,,,,,,,,0.0729660707770886,1.079005120702268,99.432465809704,1968.36,,
2019-11-30,24083372926.8886,3563906000.0,9792511000.0,5383297000.0,11858522000.0,,14.597619047619048,0.1795238095238095,,,,,,
2019-12-01,,,,,,,,,-0.1822821728034998,-1.925172539048311,101.830795089619,2758.76,,
2019-12-31,24083372926.8886,3563906000.0,9792511000.0,5383297000.0,11858522000.0,,13.504772727272728,26.576818181818183,,,,,,
2020-01-01,,,,,,,,,0.1826150474799123,-2.779252965126571,99.029283611401,3667.07,2.50108532395259,0.0873792186662963
2020-01-31,23610307559.222,3348745000.0,8642496000.0,4825692000.0,12376958000.0,,11.21195652173913,67.96173913043478,,,,,,
2020-02-01,,,,,,,,,-0.2916514764855997,-5.196406552756738,98.4948277472765,3176.42,,
2020-02-29,23610307559.222,3348745000.0,8642496000.0,4825692000.0,12376958000.0,,10.6665,-0.104,,,,,,
2020-03-01,,,,,,,,,0.8043875685557587,-8.131366350544432,94.2731028062579,2957.0,,
2020-03-31,23610307559.222,3348745000.0,8642496000.0,4825692000.0,12376958000.0,,19.792727272727276,23.514545454545456,,,,,,
2020-04-01,,,,,,,,,0.7979688066739209,-11.25131440588854,94.1051144166186,3303.96,,
2020-04-30,27085228964.1012,2761844000.0,8627921000.0,4681315000.0,12827626000.0,,18.545454545454547,16.90909090909091,,,,,,
2020-05-01,,,,,,,,,0.2878733357322778,-13.13095658312743,94.9528044946654,2932.12,,
2020-05-31,27085228964.1012,2761844000.0,8627921000.0,4681315000.0,12827626000.0,,13.68404761904762,54.78523809523809,,,,,,
2020-06-01,,,,,,,,,0.2152852529601722,-12.24489795918367,93.0813246545002,5168.72,,
2020-06-30,27085228964.1012,2761844000.0,8627921000.0,4681315000.0,12827626000.0,,11.650454545454544,65.58636363636364,,,,,,
2020-07-01,,,,,,,,,-0.6086645184389545,-9.10589959692195,90.6272487586909,4281.75,,
2020-07-31,24975954793.7481,2457948000.0,8672449000.0,4954678000.0,13636566000.0,,13.313913043478262,-0.0639130434782608,,,,,,
2020-08-01,,,,,,,,,-0.1801152737752161,-3.050471436494731,89.1938005700668,4416.9,,
2020-08-31,24975954793.7481,2457948000.0,8672449000.0,4954678000.0,13636566000.0,0.1683333333333333,12.166666666666666,33.20333333333333,,,,,,
2020-09-01,,,,,,,,,0.4691447130999639,0.6483882919599852,88.3020167511105,2297.53,,
2020-09-30,24975954793.7481,2457948000.0,8672449000.0,4954678000.0,13636566000.0,0.1580952380952381,11.585909090909093,-0.0286363636363636,,,,,,
2020-10-01,,,,,,,,,1.005747126436782,5.505952380952381,88.0350507640769,2021.41,,
2020-10-31,27549017200.0461,2613834000.0,9001237000.0,5168196000.0,12931895000.0,0.1876190476190476,11.97,29.53227272727273,,,,,,
2020-11-01,,,,,,,,,1.315789473684211,10.81961280984259,88.1104573050467,2433.06,,
2020-11-30,27549017200.0461,2613834000.0,9001237000.0,5168196000.0,12931895000.0,0.2157894736842105,12.531904761904762,50.94666666666667,,,,,,
2020-12-01,,,,,,,,,0.9126009126009126,13.55555555555556,87.2472830931596,3789.38,,
