bank_name,date_m,prob
BTA Bank,2020-12-31,0.07481767039211114
Sberbank,2020-12-31,0.02154107038076337
PrivatBank,2020-12-31,0.018405097997371996
Ukrainian Bank for Reconstruction and Development,2020-12-31,0.006905741795258601
Ukreximbank,2020-12-31,0.0066329800945272265
Bank Credit Dnipro,2020-12-31,0.006277891555534943
COMINVESTBANK,2020-12-31,0.0050908212204778345
Piraeus Bank ICB,2020-12-31,0.004821896792617195
Altbank,2020-12-31,0.004160729670158472
Pravex Bank,2020-12-31,0.0035592466279089573
