bank_name,date_m,prob
BTA Bank,2020-12-31,0.07263547241692937
Sberbank,2020-12-31,0.021127634637804173
PrivatBank,2020-12-31,0.0181137810209733
Ukreximbank,2020-12-31,0.005643584839701495
Ukrainian Bank for Reconstruction and Development,2020-12-31,0.004602561932068131
Altbank,2020-12-31,0.003558952254939676
Bank Credit Dnipro,2020-12-31,0.0035152952640048977
Ukrconstinvestbank,2020-12-31,0.0033783856388291964
Pravex Bank,2020-12-31,0.003291733951026276
Deutsche Bank DBU,2020-12-31,0.0030935449569769883
