feature,coef,abs_coef
sarimax_score,5.88446518911036,5.88446518911036
27_Cross-border deposits with BIS rep. banks_lag1,-0.7071048372067584,0.7071048372067584
NPL_Ratio,-0.26188562228003076,0.26188562228003076
ROE,-0.12721184136047198,0.12721184136047198
"12_Liabilities to BIS banks (cons.), short term_lag1",0.10207218681859379,0.10207218681859379
24_International reserves (excluding gold)_lag1,-0.07985728380053775,0.07985728380053775
ROA,-0.057666477124544556,0.057666477124544556
Liquid_Assets_Ratio,-0.03368566919865011,0.03368566919865011
ukraine_3y_yield_lag1,0.0,0.0
yield_spread_ukr_us_3y_z,0.0,0.0
yield_spread_ukr_us_3y_lag1,0.0,0.0
us_3y_yield_lag1,0.0,0.0
ukraine_3y_change_pct_lag1,0.0,0.0
ukraine_3y_yield_z,0.0,0.0
"22_Liabilities to BIS banks, locational, total_lag1",0.0,0.0
01_Cross-border loans from BIS reporting banks_lag1,0.0,0.0
us_3y_yield_z,0.0,0.0
24_International reserves (excluding gold),0.0,0.0
yield_spread_ukr_us_3y,0.0,0.0
ukraine_3y_change_pct,0.0,0.0
"12_Liabilities to BIS banks (cons.), short term",0.0,0.0
us_3y_yield,0.0,0.0
Net_Open_FX_Ratio,0.0,0.0
Loan_Deposit_Ratio,0.0,0.0
Cost_Income_Ratio,0.0,0.0
Capital_Ratio,0.0,0.0
WAR,0.0,0.0
27_Cross-border deposits with BIS rep. banks,0.0,0.0
01_Cross-border loans from BIS reporting banks,0.0,0.0
"22_Liabilities to BIS banks, locational, total",0.0,0.0
ukraine_3y_yield,0.0,0.0
