feature,between_share
Capital_Ratio,0.8813936419106333
Loan_Deposit_Ratio,0.5771178895100745
Liquid_Assets_Ratio,0.45062695442053535
ROA,0.2207709018460894
us_3y_yield,0.11837508417233265
NPL_Ratio,0.07138709143473011
ukraine_3y_yield,0.010262066068460567
