feature,coef,abs_coef
sarimax_score,5.884466169068988,5.884466169068988
27_Cross-border deposits with BIS rep. banks_lag1,-0.7070654428792787,0.7070654428792787
NPL_Ratio,-0.2618865547671577,0.2618865547671577
ROE,-0.12721123166504536,0.12721123166504536
"12_Liabilities to BIS banks (cons.), short term_lag1",0.10208740530007578,0.10208740530007578
24_International reserves (excluding gold)_lag1,-0.07988283564774376,0.07988283564774376
ROA,-0.057665751457410895,0.057665751457410895
Liquid_Assets_Ratio,-0.03368535004016442,0.03368535004016442
ukraine_3y_yield_lag1,0.0,0.0
yield_spread_ukr_us_3y_z,0.0,0.0
yield_spread_ukr_us_3y_lag1,0.0,0.0
us_3y_yield_lag1,0.0,0.0
ukraine_3y_change_pct_lag1,0.0,0.0
ukraine_3y_yield_z,0.0,0.0
"22_Liabilities to BIS banks, locational, total_lag1",0.0,0.0
01_Cross-border loans from BIS reporting banks_lag1,0.0,0.0
us_3y_yield_z,0.0,0.0
24_International reserves (excluding gold),0.0,0.0
yield_spread_ukr_us_3y,0.0,0.0
ukraine_3y_change_pct,0.0,0.0
"12_Liabilities to BIS banks (cons.), short term",0.0,0.0
us_3y_yield,0.0,0.0
Net_Open_FX_Ratio,0.0,0.0
Loan_Deposit_Ratio,0.0,0.0
Cost_Income_Ratio,0.0,0.0
Capital_Ratio,0.0,0.0
WAR,0.0,0.0
27_Cross-border deposits with BIS rep. banks,0.0,0.0
01_Cross-border loans from BIS reporting banks,0.0,0.0
"22_Liabilities to BIS banks, locational, total",0.0,0.0
ukraine_3y_yield,0.0,0.0
